Year,Category,Entries
2014,Brown Porter,61
2014,Chocolate Beer,44
2014,Classic English-Style Pale Ale,33
2014,Classic Irish-Style Dry Stout,26
2014,Coffee Beer,116
2014,Dortmunder or German-Style Oktoberfest,26
2014,English-Style Brown Ale,67
2014,English-Style India Pale Ale,39
2014,English-Style Mild Ale,40
2014,English-Style Summer Ale,37
2014,European-Style Dunkel,23
2014,Experimental Beer,79
2014,Extra Special Bitter,71
2014,Field Beer,46
2014,Foreign-Style Stout,32
2014,French- and Belgian-Style Saison,115
2014,Fresh or Wet Hop Ale,34
2014,Fruit Wheat Beer,65
2014,German-Style Altbier,33
2014,German-Style Doppelbock or Eisbock,20
2014,German-Style Kölsch,84
2014,German-Style Märzen,59
2014,German-Style Pilsener,75
2014,German-Style Schwarzbier,37
2014,German-Style Sour Ale,80
2014,German-Style Wheat Ale,29
2014,Gluten-Free Beer,20
2014,Golden or Blonde Ale,90
2014,Herb and Spice Beer,150
2014,Historical Beer,21
2014,Imperial India Pale Ale,135
2014,Imperial Red Ale,62
2014,Imperial Stout,78
2014,Indigenous/Regional Beer,31
2014,International-Style Pale Ale,88
2014,Irish-Style Red Ale,60
2014,Kellerbier or Zwickelbier,48
2014,Munich-Style Helles,50
2014,Oatmeal Stout,55
2014,Old Ale or Strong Ale,32
2014,Ordinary or Special Bitter,38
2014,Other Belgian-Style Ale,26
2014,Other Strong Beer,43
2014,Pumpkin Beer,52
2014,Robust Porter,83
2014,Rye Beer,83
2014,Scotch Ale,47
2014,Scottish-Style Ale,51
2014,Session Beer,94
2014,Smoke Beer,55
2014,South German-Style Hefeweizen,89
2014,Specialty Beer,47
2014,Specialty Honey Beer,56
2014,Sweet Stout or Cream Stout,64
2014,Vienna-Style Lager,48
2014,Wood- and Barrel-Aged Beer,64
2014,Wood- and Barrel-Aged Sour Beer,65
2014,Wood- and Barrel-Aged Strong Beer,107
2014,Wood- and Barrel-Aged Strong Stout,109
2015,Aged Beer,38
2015,American-Belgo-Style Ale,71
2015,American-Style Amber Lager,48
2015,American-Style Amber/Red Ale,94
2015,American-Style Black Ale,54
2015,American-Style Brown Ale,85
2015,American-Style Cream Ale,56
2015,American-Style Dark Lager,21
2015,American-Style Fruit Beer,87
2015,American-Style India Pale Ale,336
2015,American-Style Lager or Light Lager,55
2015,American-Style or International-Style Pilsener,51
2015,American-Style Pale Ale,160
2015,American-Style Sour Ale,86
2015,American-Style Stout,39
2015,American-Style Strong Pale Ale,134
2015,American-Style Wheat Beer,58
2015,American-Style Wheat Beer With Yeast,41
2015,Baltic-Style Porter,35
2015,Barley Wine-Style Ale,56
2015,Belgian- and French-Style Ale,47
2015,Belgian-Style Blonde Ale or Pale Ale,47
2015,Belgian-Style Dubbel or Quadruple,60
2015,Belgian-Style Fruit Beer,63
2015,Belgian-Style Lambic or Sour Ale,78
2015,Belgian-Style Strong Specialty Ale,65
2015,Belgian-Style Tripel,52
2015,Belgian-Style Witbier,82
2015,Bock,38
2015,Bohemian-Style Pilsener,62
2015,Brett Beer,85
2015,Brown Porter,57
2015,Chili Beer,79
2015,Chocolate Beer,65
2015,Classic English-Style Pale Ale,46
2015,Classic Irish-Style Dry Stout,36
2015,Coffee Beer,149
2015,Dortmunder or German-Style Oktoberfest,48
2015,Double Red Ale,71
2015,English-Style Brown Ale,72
2015,English-Style India Pale Ale,42
2015,English-Style Mild Ale,40
2015,English-Style Summer Ale,38
2015,European-Style Dark/Münchner Dunkel,34
2015,Experimental Beer,85
2015,Export Stout,39
2015,Extra Special Bitter,67
2015,Field Beer,52
2015,French- and Belgian-Style Saison,132
2015,Fresh or Wet Hop Ale,34
2015,Fruit Wheat Beer,69
2015,German-Style Altbier,49
2015,German-Style Doppelbock or Eisbock,25
2015,German-Style Kölsch,111
2015,German-Style Märzen,65
2015,German-Style Pilsener,100
2015,German-Style Schwarzbier,37
2015,German-Style Sour Ale,111
2015,German-Style Wheat Ale,38
2015,Gluten-Free Beer,24
2015,Golden or Blonde Ale,107
2015,Herb and Spice Beer,142
2015,Historical Beer,40
2015,Honey Beer,52
2015,Imperial India Pale Ale,208
2015,Imperial Red Ale,35
2015,Imperial Stout,80
2015,International-Style Pale Ale,75
2015,Irish-Style Red Ale,70
2015,Kellerbier or Zwickelbier,45
2015,Munich-Style Helles,55
2015,Oatmeal Stout,73
2015,Old Ale or Strong Ale,39
2015,Ordinary or Special Bitter,43
2015,Other Belgian-Style Ale,45
2015,Other Strong Beer,43
2015,Pumpkin Beer,56
2015,Robust Porter,102
2015,Rye Beer,84
2015,Scotch Ale,55
2015,Scottish-Style Ale,52
2015,Session Beer,44
2015,Session India Pale Ale,161
2015,Smoke Beer,57
2015,South German-Style Hefeweizen,95
2015,Specialty Beer,59
2015,Sweet Stout or Cream Stout,75
2015,Vienna-Style Lager,46
2015,Wood- and Barrel-Aged Beer,69
2015,Wood- and Barrel-Aged Sour Beer,137
2015,Wood- and Barrel-Aged Strong Beer,179
2015,Wood- and Barrel-Aged Strong Stout,128
2016,Aged Beer,40
2016,American-Belgo-Style Ale,70
2016,American-Style Amber Lager or Dark Lager,108
2016,American-Style Amber/Red Ale,114
2016,American-Style Black Ale,61
2016,American-Style Brown Ale,84
2016,American-Style Cream Ale,65
2016,American-Style Fruit Beer,106
2016,American-Style India Pale Ale,312
2016,American-Style Lager or Ice Lager or Malt Liquor,34
2016,American-Style Light Lager or German-Style Light Lager,21
2016,American-Style or International-Style Pilsener,66
2016,American-Style Pale Ale,157
2016,American-Style Sour Ale,142
2016,American-Style Stout,55
2016,American-Style Strong Pale Ale,169
2016,American-Style Wheat Beer,37
2016,American-Style Wheat Beer With Yeast,31
2016,Australian-Style or International-Style Pale Ale,90
2016,Baltic-Style Porter,41
2016,Barley Wine-Style Ale,60
2016,Belgian- and French-Style Ale,27
2016,Belgian-Style Blonde Ale or Pale Ale,61
2016,Belgian-Style Dubbel or Quadrupel,63
2016,Belgian-Style Fruit Beer,61
2016,Belgian-Style Lambic or Sour Ale,74
2016,Belgian-Style Strong Specialty Ale,70
2016,Belgian-Style Tripel,92
2016,Belgian-Style Witbier,85
2016,Bock,36
2016,Bohemian-Style Pilsener,62
2016,Brett Beer,53
2016,Brown Porter,61
2016,Chili Beer,112
2016,Chocolate Beer,46
2016,Classic English-Style Pale Ale,38
2016,Classic Irish-Style Dry Stout,41
2016,Classic Saison,88
2016,Coffee Beer,168
2016,Dortmunder or German-Style Oktoberfest,46
2016,Double Red Ale,78
2016,English-Style Brown Ale,47
2016,English-Style India Pale Ale,43
2016,English-Style Mild Ale,44
2016,English-Style Summer Ale,68
2016,European-Style Dark Lager/Munich-Style Dunkel,38
2016,Experimental Beer,87
2016,Export Stout,43
2016,Extra Special Bitter,71
2016,Field Beer,92
